,customerID,DOB,Gender,State,PinCode,transactionDate,store_code,store_description,till_no,transaction_number_by_till,promo_code,promotion_description,product_code,product_description,sale_price_after_promo,discountUsed,cluster
0,BBID_20482,1975-10-20,male,MADHYA PRADESH,453441.0,2016-05-01,2655,BB-INDORE-MALHAR MEGA MALL,2,85246,NONPROMO,no_promo,1000446431,PATANJALI CHOCOS 125g,55.0,Payback,1
1,BBID_20485,1955-07-21,female,no_state,999999.0,2017-03-09,2655,BB-INDORE-MALHAR MEGA MALL,8,78829,NONPROMO,no_promo,1000010431,SOO FRESH ROLLS HOT DOG 4P,30.0,Payback,2
2,BBID_20498,1981-03-19,female,MAHARASHTRA,400064.0,2015-08-12,2655,BB-INDORE-MALHAR MEGA MALL,13,1064,0000971754,AD 399 FLAT LADIES JEANS  FASHION EXC,1000077851005,"DLJ-0010-BSF-2-CJ-FL, 34, BLACK",418.95,Payback,1
3,BBID_20499,1986-05-10,male,MAHARASHTRA,400099.0,2016-12-18,2615,BB-AMRITSAR-TRILIUM MALL,14,51080,NONPROMO,no_promo,1000443231,PATANJALI TOMATO KETCHUP BT 500g,70.0,Payback,2
4,BBID_204110,1988-02-29,male,MADHYA PRADESH,474001.0,2015-12-31,2655,BB-INDORE-MALHAR MEGA MALL,9,21911,0000974126,NMP 5% OFF CONCEPT DISCOUNT 2655,300481741,MAGGI NDL MERI MASALA PP 70g,34.2,Payback,1
5,BBID_204129,1976-07-21,no_gender,no_state,999999.0,2017-01-21,2655,BB-INDORE-MALHAR MEGA MALL,4,22778,NONPROMO,no_promo,300648527,GH SUGAR 5Kg,249.0,Payback,2
6,BBID_204149,1977-04-11,male,MAHARASHTRA,401105.0,2016-11-08,2906,BB-INDORE-TREASURE ISLAND,11,33822,0001203034,"AZ 1@349,2@599 FLAT REG TERRY BATH TOWEL",1000479429005,"SS16 GREEKY Bath Tow, 70CM X 1.4 M, TEAL",1503.75,Payback,2
7,BBID_204178,1972-06-23,male,no_state,456335.0,2016-04-23,2655,BB-INDORE-MALHAR MEGA MALL,2,82493,NONPROMO,no_promo,1000446514,PATANJALI ROSE FACE WASH 60g,90.0,Payback,1
8,BBID_204186,1977-09-21,female,HARAYANA,122002.0,2017-04-23,3692,BB-LUDHIANA-FEROZEPUR-MF,5,11873,NONPROMO,no_promo,1000257325,BANANA ROBUSTA,113.44,Payback,2
9,BBID_204232,1986-05-24,male,TAMILNADU,625011.0,2016-05-24,4986,BB-MADURAI-KOCHADAI VILLAGE,13,79027,NONPROMO,no_promo,108014378,PEARS SOAP OIL CLEAR & GLOW 75g,72.0,Payback,4
10,BBID_204242,1964-01-09,male,KARNATAKA,560097.0,2016-11-27,2655,BB-INDORE-MALHAR MEGA MALL,10,60438,0001213777,IZ 5 %DIS MIX LOB,1000323996,SANCHI MILK GOLD PP 500ml,20.9,Payback,2
11,BBID_204277,1986-05-02,male,TAMILNADU,625016.0,2015-12-27,4986,BB-MADURAI-KOCHADAI VILLAGE,11,47836,0001066428,SZ 15 % OFF STAPLES ASSORTED TN,108001161,GH WHO SPICE DRY METHI 100g,23.8,Payback,4
12,BBID_204295,1977-10-10,male,TAMILNADU,600041.0,2015-12-12,4986,BB-MADURAI-KOCHADAI VILLAGE,13,16411,0001054778,STN 10 RS OFF ASSORTED FB TN,108017906,WIPRO DET LIQUID SAFEWASH 2*500ml,150.0,Payback,4
13,BBID_204322,1962-01-07,male,TAMILNADU,600093.0,2016-01-08,4986,BB-MADURAI-KOCHADAI VILLAGE,1,14527,0001072310,AZ SHOP 3000 & GET 300 RS OFF PAYBACK CR,1000258675,Srishti bag floraljal 38 x 36.8cmNavy,188.92,Payback,4
14,BBID_204334,1980-05-09,male,TAMILNADU,641025.0,2015-05-01,4986,BB-MADURAI-KOCHADAI VILLAGE,13,36412,0000869304,STN 10% OFF CONCEPT DISCOUNT 4986,300158262,SUNFEAST CRM BISC BOUNCE CHOCO 50g,9.0,Payback,4
15,BBID_204354,1993-03-05,male,no_state,999999.0,2016-10-01,4986,BB-MADURAI-KOCHADAI VILLAGE,8,98889,0001188959,"HO B1@15%,2@20%,4@25% OFF SEATING REG AZ",1000218054001,"GNG NP SLEEPER CHAIR 39x55x55, RED, NA",296.65,Payback,4
16,BBID_204354,1993-03-05,male,no_state,999999.0,2016-10-01,4986,BB-MADURAI-KOCHADAI VILLAGE,8,98888,NONPROMO,no_promo,108004629,GH DAILY RAVA/SUJI 1Kg,46.0,Payback,4
17,BBID_204360,1984-07-29,male,MAHARASHTRA,425001.0,2016-10-15,2906,BB-INDORE-TREASURE ISLAND,18,13032,0001188261,HO 50 %OFF SHOES & SANDAL-C-SYN REG AZ,1000200229014,"SS16-CSSNSYN-C224-NA, 8, DARK GREY",299.5,Payback,2
18,BBID_204395,1979-05-25,male,no_state,999999.0,2016-07-09,4986,BB-MADURAI-KOCHADAI VILLAGE,16,35477,0001152512,HO 50 RS OFF BODY LOTIONS/OILS REG AZ EX,1000391224,HIMALAYA BODY LTN ALOE&CUCUMBER 400ml,200.0,Payback,4
19,BBID_204439,1986-07-23,no_gender,MAHARASHTRA,411027.0,2017-06-23,2655,BB-INDORE-MALHAR MEGA MALL,6,35313,NONPROMO,no_promo,1000109064,DEL MONTE MAYONNAISE THICK&CREAMY 900g,175.0,Payback,2
20,BBID_204446,1972-06-01,no_gender,no_state,450331.0,2016-11-27,2655,BB-INDORE-MALHAR MEGA MALL,2,57394,0001213128,IZ 30 %DIS REG Double Blanket,830010604003,"IMP-AW15-DBL Mink 2.2 Kg, DSN-03, NA",1257.48,Payback,2
21,BBID_204451,1977-07-20,female,TAMILNADU,627007.0,2016-11-13,4986,BB-MADURAI-KOCHADAI VILLAGE,6,88989,NONPROMO,no_promo,300142841,SURIYAN CHIKKI PEANUT BIG 200G,60.0,Payback,4
22,BBID_204455,1970-12-10,male,KARNATAKA,575004.0,2015-09-26,4986,BB-MADURAI-KOCHADAI VILLAGE,11,21461,NONPROMO,no_promo,1000091208,BRITANNIA CAKE NUT&RAISIN PP 150g,50.0,Payback,4
23,BBID_204461,1969-01-07,male,KARNATAKA,574105.0,2016-06-30,2906,BB-INDORE-TREASURE ISLAND,20,2499,NONPROMO,no_promo,300047282,PONDS TALC DREAM FLOWER PINK 100G,69.0,Payback,1
24,BBID_204603,1982-06-18,male,GUJARAT,390008.0,2015-10-10,2655,BB-INDORE-MALHAR MEGA MALL,12,9311,NONPROMO,no_promo,301018395,GANGWAL ECONOMIC ATTA PP 1Kg,58.0,Payback,1
25,BBID_204609,1987-09-08,male,MADHYA PRADESH,462039.0,2016-08-12,2655,BB-INDORE-MALHAR MEGA MALL,6,74056,NONPROMO,no_promo,300481742,MAGGI NDL CUPPA CHILI CHOW 70g,40.0,Payback,1
26,BBID_204610,1992-05-13,male,GUJARAT,390002.0,2016-10-15,2655,BB-INDORE-MALHAR MEGA MALL,2,42897,0001196762,AZ 40 %DIS REG FOOTWEAR,1000249761004,"Sunsh, BITTER CHOCOLATE/VIBRANT ORANG, 9",299.4,Payback,2
27,BBID_204620,1988-08-17,male,MAHARASHTRA,411015.0,2016-05-22,2655,BB-INDORE-MALHAR MEGA MALL,12,38830,0001112981,"AZ 2@99,4@179,6@259 FLAT GLASS TUMBLER",1000474761,CHANELLI Regular Glass Mug 350ml,259.0,Payback,1
28,BBID_204707,1967-09-17,female,no_state,999999.0,2017-05-09,2906,BB-INDORE-TREASURE ISLAND,14,54186,NONPROMO,no_promo,1000438421014,"DJWS-0160-CRSHORTS-B-WSF-TW-S, 40, STONE",599.0,Payback,2
29,BBID_204710,1978-07-12,male,no_state,999999.0,2016-09-14,2906,BB-INDORE-TREASURE ISLAND,6,17669,NONPROMO,no_promo,108018123,420 PAPAD GS SADA 400G,119.0,Payback,2
30,BBID_204712,1993-03-07,female,no_state,999999.0,2017-02-05,2906,BB-INDORE-TREASURE ISLAND,11,47036,NONPROMO,no_promo,300776410,BB-CB-20X25X208SWG NEW,5.0,Payback,2
31,BBID_204717,1948-10-23,female,MADHYA PRADESH,452001.0,2016-06-02,2906,BB-INDORE-TREASURE ISLAND,7,7465,NONPROMO,no_promo,108100207,MANGO TOTAPURI,51.92,Payback,1
32,BBID_204717,1948-10-23,female,MADHYA PRADESH,452001.0,2017-06-01,2906,BB-INDORE-TREASURE ISLAND,8,57880,NONPROMO,no_promo,108004590,SUNRICH SUNFLOWER OIL PP 1L,258.0,Payback,2
33,BBID_204735,1971-04-18,male,no_state,999999.0,2016-06-01,2906,BB-INDORE-TREASURE ISLAND,9,7820,NONPROMO,no_promo,300863237,MCCAIN FRZN SNK POTATO CHEESE SHOTZ 250g,115.0,Payback,1
34,BBID_204741,1989-02-20,male,MADHYA PRADESH,452007.0,2017-05-28,2906,BB-INDORE-TREASURE ISLAND,7,67223,0001293877,AZ TS2000 GET 250 RS OFF REG GOING3 Casu,1000680710002,"NYSH-4171-499SH39-A-FS-SF-STR, 40, BLUE",464.3,Payback,2
35,BBID_204755,1964-02-10,male,no_state,999999.0,2017-01-16,2655,BB-INDORE-MALHAR MEGA MALL,11,75870,NONPROMO,no_promo,108100277,BEETROOT PKD,15.48,Payback,2
36,BBID_204765,1969-12-22,male,no_state,999999.0,2016-11-17,2906,BB-INDORE-TREASURE ISLAND,4,36511,0001204289,IZ 10 RS OFF REG INSTANT NOODLES,1000638606,SUNFEAST NDL YIPPEE POWERUP MASALA 280g,45.0,Payback,2
37,BBID_204859,1986-08-28,female,MADHYA PRADESH,452006.0,2016-11-14,2655,BB-INDORE-MALHAR MEGA MALL,2,53181,NONPROMO,no_promo,108029256,NESCAFE COFFEE CLASSIC JR 25g,70.0,Payback,2
38,BBID_204891,1967-09-23,male,MADHYA PRADESH,452010.0,2015-11-03,2655,BB-INDORE-MALHAR MEGA MALL,4,18925,NONPROMO,no_promo,108032496,SAFAL PEAS GREEN PEAS 200G,45.0,Payback,1
39,BBID_204891,1967-09-23,male,MADHYA PRADESH,452010.0,2015-11-03,2655,BB-INDORE-MALHAR MEGA MALL,4,18925,0001041645,"AZ 1@10,2@30 RS OFF Frozen Veg Snacks FB",300658528,MCCAIN FROZ VEG SNACK SMILES 175g,50.0,Payback,1
40,BBID_204900,1981-05-21,female,MADHYA PRADESH,452014.0,2016-10-24,2906,BB-INDORE-TREASURE ISLAND,1,20335,NONPROMO,no_promo,300776411,BB-CB-27X30X208SWG NEW,14.0,Payback,2
41,BBID_204910,1940-07-31,male,MADHYA PRADESH,452001.0,2017-03-13,2655,BB-INDORE-MALHAR MEGA MALL,4,36751,NONPROMO,no_promo,1000446187,PATANJALI MANGO DRINK 1L,50.0,Payback,2
42,BBID_204951,1971-09-14,male,MADHYA PRADESH,452001.0,2017-03-05,2655,BB-INDORE-MALHAR MEGA MALL,8,78224,NONPROMO,no_promo,300776411,BB-CB-27X30X208SWG NEW,14.0,Payback,2
43,BBID_204957,1985-02-13,male,no_state,999999.0,2016-04-27,2906,BB-INDORE-TREASURE ISLAND,19,156,NONPROMO,no_promo,108020365,BRITANNIA BISC 50 50 78g/100g,0.0,Payback,1
44,BBID_204964,1992-02-06,male,no_state,485185.0,2015-12-21,2655,BB-INDORE-MALHAR MEGA MALL,12,19827,NONPROMO,no_promo,300785148,BB-CB-20X25X168SWG-Suitable for ROI New,4.0,Payback,1
45,BBID_204971,1965-01-24,male,MADHYA PRADESH,452008.0,2017-05-24,2655,BB-INDORE-MALHAR MEGA MALL,10,77856,0001292414,NZ B1G1 @100 %DIS REG Coriander/Dhania P,300934698,GH POW SPICE CORIANDER PP 100g,0.0,Payback,2
46,BBID_204975,1990-04-26,male,MADHYA PRADESH,452001.0,2016-09-07,2906,BB-INDORE-TREASURE ISLAND,10,20861,NONPROMO,no_promo,1000535743,Elegant Basket Mini,149.0,Payback,2
47,BBID_204984,1968-04-19,male,no_state,999999.0,2016-07-10,2655,BB-INDORE-MALHAR MEGA MALL,7,50115,NONPROMO,no_promo,108100183,KIWI GREEN LOOSE,114.0,Payback,1
48,BBID_2041004,1977-06-22,no_gender,MADHYA PRADESH,452001.0,2016-02-28,2655,BB-INDORE-MALHAR MEGA MALL,16,15272,NONPROMO,no_promo,108020344,BOURNVITA HEALTH DRINK PP 500g,200.0,Payback,1
49,BBID_2041004,1977-06-22,no_gender,MADHYA PRADESH,452001.0,2016-11-05,2906,BB-INDORE-TREASURE ISLAND,4,33543,NONPROMO,no_promo,300091863,PH GROUNDNUT 500g,97.0,Payback,2
50,BBID_2041010,1963-03-04,female,MADHYA PRADESH,452001.0,2017-05-05,2906,BB-INDORE-TREASURE ISLAND,4,96225,NONPROMO,no_promo,1000109366,BRITANNIA 50-50 MASKA CHASKA 4*120g OP,100.0,Payback,2
51,BBID_2041049,1972-12-30,male,MADHYA PRADESH,452010.0,2016-06-25,2906,BB-INDORE-TREASURE ISLAND,14,2927,0001150106,AZ 60% OFF+VAT MENS FASHION EOSS LIQ EXC,1000443619003,"KHSH-4166-270-A-HS-CX, 42-SF, RED",461.58,Payback,1
52,BBID_2041050,1975-07-02,female,MADHYA PRADESH,454775.0,2015-12-31,2655,BB-INDORE-MALHAR MEGA MALL,10,20315,NONPROMO,no_promo,108100127,FB FR APPLE KINNAUR LARGE,150.12,Payback,1
53,BBID_2041069,1980-07-25,male,no_state,999999.0,2017-04-12,2655,BB-INDORE-MALHAR MEGA MALL,2,2726,NONPROMO,no_promo,108004055,AMUL DESI GHEE TP 1L,450.0,Payback,2
54,BBID_2041082,1990-06-03,female,MADHYA PRADESH,452001.0,2017-01-10,2906,BB-INDORE-TREASURE ISLAND,19,50795,0001229031,IZ 30 %DIS REG FOOTWEAR,830013843009,"SS16-MSL-M777-AFL, 43, GREY",279.3,Payback,2
55,BBID_2041113,1992-12-15,male,MADHYA PRADESH,452001.0,2016-10-14,2906,BB-INDORE-TREASURE ISLAND,6,22371,NONPROMO,no_promo,108015133,SURF EXCEL DET BAR 4*200G,264.0,Payback,2
56,BBID_2041165,1981-01-06,male,no_state,999999.0,2016-07-11,2906,BB-INDORE-TREASURE ISLAND,15,8490,NONPROMO,no_promo,108029656,NUTRELA SOYA CHUNKS BX 200g,40.0,Payback,1
57,BBID_2041210,1974-03-15,female,no_state,999999.0,2017-03-05,2655,BB-INDORE-MALHAR MEGA MALL,7,88733,NONPROMO,no_promo,300111517,POTATO LOOSE,24.98,Payback,2
58,BBID_2041210,1974-03-15,female,no_state,999999.0,2017-03-23,2655,BB-INDORE-MALHAR MEGA MALL,7,91275,NONPROMO,no_promo,108100294,Carrot English Loose,49.38,Payback,2
59,BBID_2041210,1974-03-15,female,no_state,999999.0,2016-03-03,2655,BB-INDORE-MALHAR MEGA MALL,4,38564,NONPROMO,no_promo,108100330,BITTER GOURD LOOSE,54.45,Payback,1
60,BBID_2041210,1974-03-15,female,no_state,999999.0,2015-12-31,2655,BB-INDORE-MALHAR MEGA MALL,10,20365,0001069382,NZ 5% OFF ASSORTED,108040056,CATCH POW SPICE DRY MANGO BX 100g,62.7,Payback,1
61,BBID_2041210,1974-03-15,female,no_state,999999.0,2016-09-18,2655,BB-INDORE-MALHAR MEGA MALL,5,55198,NONPROMO,no_promo,108004399,GH DAILY MAIDA 500g,20.0,Payback,2
62,BBID_2041215,1969-03-30,male,MADHYA PRADESH,452001.0,2016-01-09,2655,BB-INDORE-MALHAR MEGA MALL,9,23418,NONPROMO,no_promo,108019975,BIKANO NAMKEEN KAJU MIX 200G,65.0,Payback,1
63,BBID_2041224,1976-04-14,female,no_state,999999.0,2016-03-14,2655,BB-INDORE-MALHAR MEGA MALL,2,70563,NONPROMO,no_promo,100105102,ORANGE NAGPUR LOOSE,35.49,Payback,1
64,BBID_2041232,1974-09-21,male,MADHYA PRADESH,452001.0,2017-06-10,2655,BB-INDORE-MALHAR MEGA MALL,2,23487,NONPROMO,no_promo,108037537,RICE KALI MUCH LOOSE,266.25,Payback,2
65,BBID_2041248,1971-03-14,male,MADHYA PRADESH,453441.0,2015-12-05,2655,BB-INDORE-MALHAR MEGA MALL,12,17742,NONPROMO,no_promo,300785150,BB-CB-27X30X168SWG-Suitable for ROI New,6.0,Payback,1
66,BBID_2041254,1980-09-30,female,MADHYA PRADESH,452001.0,2016-09-20,2655,BB-INDORE-MALHAR MEGA MALL,6,79977,NONPROMO,no_promo,1000541353,WB-4513 Y Shape Peeler,99.0,Payback,2
67,BBID_2041254,1980-09-30,female,MADHYA PRADESH,452001.0,2016-09-25,2655,BB-INDORE-MALHAR MEGA MALL,5,56233,NONPROMO,no_promo,300705601,AMBIPUR CAR START KIT VANILA BOQ+REF 7ML,280.0,Payback,2
68,BBID_2041291,1974-12-30,male,MADHYA PRADESH,452001.0,2016-08-12,2655,BB-INDORE-MALHAR MEGA MALL,4,82867,0001165339,HO 40 RS OFF COOKING PASTA REG AZ EX,300535523,DEL MONTE PASTA SPIRALI 500g,145.0,Payback,1
69,BBID_2041303,1948-09-09,male,no_state,999999.0,2015-11-05,2655,BB-INDORE-MALHAR MEGA MALL,8,13143,0001039150,AZ 15 % OFF SOUTH INDIAN MIXES VISTEX,108028900,MTR SNACKMIX RAVA IDLI PP 500g,63.75,Payback,1
70,BBID_2041312,1986-01-04,male,MADHYA PRADESH,452001.0,2016-01-25,2655,BB-INDORE-MALHAR MEGA MALL,6,33761,NONPROMO,no_promo,108004592,SUNRICH SUNFLOWER OIL JR 15L,5012.0,Payback,1
